check_point0,check_point1,check_point2,check_point3,check_point4,check_point5,check_point6,check_point7,check_point8,check_point9,check_point10,check_point11,check_point12,check_point13,check_point14,check_point15,check_point16,check_point17,check_point18,check_point19,check_point20,month,day,heat_deg_days_c,total_snow_cm,spd_of_max_gust_kmPerhr,date,sum_checkpointCount
281.0,0.0,63.0,0.0,138.05201204534688,343.0,68.0,14.0,29.0,4.9788013711804524e-08,0.0,191.22080685431138,120.0,328.0,117.0,52.0,1186.1505393259197,37.0,217.0,192.0,35.0,3.0,5.0,30.2,0.6,41.0,2015-03-05,3411.423358275366
192.0,0.0,6.0,2.0,104.77259385051508,283.0,74.0,7.0,11.0,7.919243216747418e-08,0.0,202.05322421081655,107.0,277.0,95.0,39.0,1238.7609191188271,56.0,308.0,148.0,48.0,3.0,6.0,31.8,0.0,50.0,2015-03-06,3198.586737259351
98.0,0.0,6.0,7.0,53.287861869219455,140.0,29.0,5.0,8.0,5.687661541742273e-08,0.0,191.9659973132716,101.0,184.0,33.0,14.0,1138.8524821408662,58.0,329.0,52.0,10.0,3.0,7.0,25.8,0.4,41.0,2015-03-07,2458.106341380234
83.0,0.0,1.0,3.0,38.56680076877814,139.0,26.0,5.0,4.0,3.577770257834345e-08,0.0,157.95646449236392,71.0,157.0,21.0,8.0,1018.5582765188337,64.0,161.0,47.0,5.0,3.0,8.0,21.4,0.8,37.0,2015-03-08,2010.0815418157536
350.0,0.0,12.0,6.0,173.05148287142168,475.0,74.0,12.0,18.0,0.0,0.0,185.61008665030295,220.0,442.0,143.0,62.0,1237.6299832701593,175.0,299.0,281.0,57.0,3.0,9.0,18.5,1.8,52.0,2015-03-09,4222.291552791884
516.0,0.0,15.0,61.0,245.03294553699817,757.0,149.0,23.0,36.0,5.569972927332856e-08,0.0,145.00638982939472,294.0,541.0,180.0,78.0,1603.8119787335393,309.0,469.0,433.0,68.0,3.0,10.0,16.1,0.0,33.0,2015-03-10,5922.851314155631
692.0,0.0,26.0,214.0,323.5492906339894,888.0,230.0,22.0,69.0,5.237507139099762e-08,0.0,229.2400371727258,489.0,718.0,237.0,102.0,1505.6767829866685,384.0,574.0,505.0,93.0,3.0,11.0,14.2,0.0,54.0,2015-03-11,7301.466110845759
481.0,0.0,31.0,219.0,255.22963746798666,762.0,123.0,19.0,35.0,6.20611899648793e-08,2.0,243.97115764163118,326.0,618.0,183.0,63.0,1428.157959214375,330.0,485.0,449.0,66.0,3.0,12.0,22.6,0.0,57.0,2015-03-12,6119.358754386054
401.0,0.0,35.0,199.0,222.3526984277791,610.0,156.0,27.0,44.0,6.005166142131202e-08,1.0,253.13364472067406,328.0,535.0,168.0,63.0,1219.0641143226455,315.0,480.0,392.0,56.0,3.0,13.0,24.0,0.0,31.0,2015-03-13,5504.550457531151
156.0,0.0,17.0,56.0,89.91187947107562,249.0,70.0,12.0,18.0,0.0,0.0,216.6003898517165,190.0,279.0,42.0,12.0,992.8740481145592,124.0,276.0,151.0,14.0,3.0,14.0,19.5,7.4,44.0,2015-03-14,2965.3863174373514
100.0,0.0,17.0,0.0,38.145261753370136,95.0,17.0,1.0,0.0,0.0,0.0,185.13490312195108,66.0,100.0,26.0,6.0,914.4520488111006,19.0,64.0,34.0,5.0,3.0,15.0,22.1,2.0,54.0,2015-03-15,1687.7322136864218
327.0,0.0,27.0,1.0,169.9528574738789,483.0,84.0,7.0,1.0,6.377058525686152e-08,0.0,164.14539093917028,217.0,354.0,139.0,46.0,1383.1133885239058,77.0,288.0,285.0,23.0,3.0,16.0,22.6,0.0,31.0,2015-03-16,4076.211637000725
360.0,0.0,10.0,79.0,176.0134626531833,516.0,93.0,9.0,1.0,0.0,0.0,231.5873766285804,227.0,409.0,144.0,53.0,1256.3537392678882,182.0,336.0,309.0,32.0,3.0,17.0,21.2,1.8,72.0,2015-03-17,4423.954578549652
377.0,0.0,5.0,103.0,192.2307058905368,532.0,101.0,14.0,0.0,6.703612598357722e-08,0.0,226.80723006951666,241.0,463.0,134.0,57.0,1200.2579720205804,136.0,286.0,342.0,46.0,3.0,18.0,26.5,0.0,57.0,2015-03-18,4456.29590804767
435.0,0.0,1.0,0.0,202.02152296632494,608.0,115.0,19.0,1.0,6.429354471038096e-08,0.0,193.14948145560265,236.0,465.0,163.0,68.0,1406.8701614886363,224.0,385.0,367.0,38.0,3.0,19.0,25.4,0.0,50.0,2015-03-19,4927.041165974857
523.0,0.0,1.0,0.0,231.03228779150737,686.0,156.0,27.0,12.0,5.5631971918046474e-08,0.0,159.92687163264418,385.0,521.0,159.0,71.0,1450.7018626872905,279.0,387.0,381.0,47.0,3.0,20.0,21.4,0.0,32.0,2015-03-20,5476.661022167074
202.0,0.0,0.0,0.0,75.72493211972113,204.0,51.0,5.0,6.0,0.0,0.0,218.15264639625684,140.0,247.0,48.0,17.0,963.696608110615,119.0,199.0,88.0,16.0,3.0,21.0,22.3,3.8,67.0,2015-03-21,2599.574186626593
110.0,0.0,1.0,0.0,45.55007070323094,107.0,24.0,1.0,2.0,1.3404587662080303e-08,0.0,191.79773206110121,87.0,180.0,35.0,7.0,950.2925350380356,70.0,150.0,21.0,13.0,3.0,22.0,30.2,1.3317242153659663,31.0,2015-03-22,1995.6403378157725
342.0,0.0,0.0,0.0,165.2489255562537,420.0,86.0,18.0,5.0,6.795835361117497e-08,0.0,228.3606259438402,199.0,387.0,160.0,59.0,1208.985287825008,171.0,342.0,263.0,48.0,3.0,23.0,29.0,0.0,46.0,2015-03-23,4102.59483939306
536.0,0.0,4.0,0.0,259.1797937775131,731.0,141.0,45.0,0.0,5.5233158491319045e-08,0.0,194.9148829896635,487.0,581.0,201.0,74.0,1516.9030888317066,281.0,460.0,409.0,50.0,3.0,24.0,24.7,0.0,31.0,2015-03-24,5970.997765654116
658.0,0.0,1.0,0.0,314.55274356646134,906.0,230.0,37.0,0.0,5.090578270028345e-08,0.0,240.09962211169568,470.0,772.0,265.0,70.0,1455.181666855467,374.0,571.0,579.0,72.0,3.0,25.0,18.9,0.0,48.0,2015-03-25,7014.834032584529
530.0,0.0,10.0,0.0,269.28459134435735,841.0,197.0,36.0,0.0,5.191714080865495e-08,0.0,215.77791607096515,364.0,646.0,209.0,18.0,1433.2795723079917,372.0,484.0,561.0,82.0,3.0,26.0,14.8,0.0,46.0,2015-03-26,6268.3420797752315
502.0,0.0,9.0,0.0,220.97522043930286,643.0,147.0,42.0,0.0,0.0,0.0,227.98708914020017,340.0,613.0,182.0,14.0,1320.490598403271,284.0,502.0,363.0,46.0,3.0,27.0,19.7,3.6,35.0,2015-03-27,5456.452907982774
313.0,0.0,8.0,54.0,150.71896843033176,384.0,78.0,19.0,0.0,5.839774530613795e-08,3.0,253.5696280247421,354.0,503.0,109.0,2.0,1045.6018958180448,211.0,385.0,184.0,22.0,3.0,28.0,23.6,0.0,37.0,2015-03-28,4078.8904923315163
375.0,0.0,13.0,0.0,171.15864963066394,484.0,123.0,35.0,0.0,5.597348717856221e-08,3.0,242.61194885647728,421.0,570.0,127.0,3.0,1146.1379153345572,256.0,419.0,213.0,22.0,3.0,29.0,21.3,0.0,44.0,2015-03-29,4623.908513877672
439.0,0.0,21.0,156.0,226.68162906407946,637.0,141.0,47.0,0.0,1.2395048543112352e-08,1.0,276.5587227387123,304.0,531.0,187.0,25.0,1304.35707261774,251.0,512.0,410.0,58.0,3.0,30.0,16.3,1.0,59.0,2015-03-30,5527.597424432926
729.0,0.0,20.0,449.0,380.56062120835514,1074.0,242.0,101.0,0.0,4.410912879393436e-08,9.0,386.2490863702194,593.0,1018.0,306.0,3.0,1258.6860915045095,412.0,698.0,664.0,91.0,3.0,31.0,19.4,0.0,44.0,2015-03-31,8434.495799127193
989.0,0.0,281.0,594.0,572.104223718583,1380.0,272.0,148.0,446.0,4.038292900077067e-08,16.0,451.95582884555074,763.0,1197.0,343.0,33.0,1656.1329922981429,568.0,853.0,834.0,100.0,4.0,1.0,20.4,0.0,43.0,2015-04-01,11497.19304490266
870.0,0.0,397.0,601.0,645.6367814186192,1429.0,337.0,143.0,825.0,321.2016350395884,38.0,286.34065317385557,807.0,1222.0,396.0,166.61621207214012,2069.2967279284208,707.0,879.0,839.0,162.0,4.0,2.0,14.3,0.0,41.0,2015-04-02,13141.092009632624
993.0,905.0,925.0,520.0,845.4629694369858,1323.0,344.0,199.0,722.0,541.8453433098166,226.0,573.3698348540922,1289.0,1773.0,443.0,51.315511726756995,2474.387624200893,662.0,1002.0,597.0,66.0,4.0,3.0,9.0,0.0,48.0,2015-04-03,16475.381283528543
189.0,156.0,60.0,55.0,164.02685133867942,338.0,78.0,29.0,136.0,0.0,5.0,201.81684508424314,323.0,455.0,65.0,33.66664838518682,1267.3061708190137,140.0,304.0,147.0,18.0,4.0,4.0,17.5,4.4,56.0,2015-04-04,4164.816515627123
228.0,218.0,65.0,114.0,209.49339030677515,379.0,106.0,43.0,234.0,97.18113557721063,19.0,250.2430432828337,365.0,500.0,114.0,34.8061152692062,1350.3407547967392,238.0,381.0,174.0,24.0,4.0,5.0,20.2,0.0,52.0,2015-04-05,5144.064439232765
398.0,282.0,279.0,235.0,364.8330434971062,653.0,175.0,84.0,404.0,239.614052235514,20.0,278.79961785462,468.0,729.0,192.0,57.121837312918615,1651.8353502306925,301.0,509.0,377.0,47.0,4.0,6.0,19.7,0.6,32.0,2015-04-06,7745.203901130852
1294.0,759.0,841.0,873.0,1004.0846339164916,1904.0,400.0,288.0,1075.0,739.8359878320407,67.0,457.5688214585932,1001.0,1443.0,505.0,29.847841438812793,3312.2120431654207,778.0,1116.0,1174.0,136.0,4.0,7.0,17.1,0.0,39.0,2015-04-07,19197.549327811357
1430.0,709.0,985.0,883.0,1010.4277729780808,1883.0,443.0,373.0,1132.0,959.882234970547,29.0,437.51904113000614,772.0,1476.0,580.0,43.768393902967546,3183.080627500432,801.0,1203.0,1173.0,135.0,4.0,8.0,16.6,3.2,39.0,2015-04-08,19641.678070482034
1498.0,831.0,1025.0,882.0,1089.6954930835268,1994.0,486.0,336.0,1172.0,1080.5655210031764,43.0,431.4036899559751,917.0,1664.0,526.0,64.15690711638399,3070.1006055344856,871.0,1057.0,1339.0,165.0,4.0,9.0,14.4,0.0,56.0,2015-04-09,20541.922216693547
