date,check_point0,check_point1,check_point2,check_point3,check_point4,check_point5,check_point6,check_point7,check_point8,check_point9,check_point10,check_point11,check_point12,check_point13,check_point14,check_point15,check_point16,check_point17,check_point18,check_point19,check_point20,month,day,heat_deg_days_c,total_snow_cm,spd_of_max_gust_kmPerhr
2015-04-25,1368,1451,1532,625,,1751,515,424,851,,289,734.0,1539,1962,501,0,,893,1809,856,72,4,25,11.6,0.0,41.0
2015-04-26,1553,1888,2043,821,,1846,711,507,1040,,523,1014.0,1840,2241,550,0,,998,1874,920,76,4,26,10.2,0.0,32.0
2015-04-27,2317,1550,2196,1125,,2911,825,749,1710,,244,882.0,1591,2357,1005,0,,1365,1970,1889,213,4,27,8.0,0.0,41.0
2015-04-28,4359,3320,4443,2074,,4881,1437,1791,2920,,860,2453.0,3165,4244,2194,0,,2419,3269,3193,417,4,28,6.3,0.0,35.0
2015-04-29,4237,3376,4270,1978,,4909,1499,1735,2944,,705,2182.0,3114,4424,2236,0,,2392,3560,3074,408,4,29,6.5,0.0,37.0
2015-04-30,4433,3408,4343,2095,,5196,1427,1690,2926,,706,2082.0,3131,4337,2283,0,,2487,3699,3175,390,4,30,6.7,0.0,43.0
2015-05-01,4762,3902,4883,1947,,5481,1503,1744,3028,,917,2186.0,3634,4643,2334,0,,2536,3964,3249,465,5,1,4.5,0.0,31.0
2015-05-02,4244,4698,4789,1682,,4499,1609,1725,1919,,1529,2358.0,3898,4993,2027,0,,1932,4017,1746,218,5,2,2.5,0.0,35.0
2015-05-03,4474,4936,5247,1741,,4268,1470,1877,2234,,1627,2609.0,4924,5666,2076,0,,2063,3877,1870,250,5,3,0.2,0.0,35.0
2015-05-04,5402,4104,5244,2558,,5934,1700,2214,3383,,1060,2349.0,3192,4593,2845,0,,2775,3968,3764,582,5,4,0.0,0.0,72.0
2015-05-05,6394,4779,6079,2954,,7194,1909,2519,3950,,2213,3125.0,4097,5124,3289,0,,3302,4342,4457,630,5,5,3.1,0.0,44.0
2015-05-06,6496,5067,6182,2337,,7135,1949,2640,3966,,2293,3102.0,3906,5936,3394,0,,3335,4301,4396,590,5,6,2.0,0.0,44.0
2015-05-07,6952,5323,6449,3039,,7407,2009,2725,3977,,2445,3156.0,4173,5541,3564,0,,3451,4728,4474,739,5,7,0.0,0.0,37.0
2015-05-08,6837,5536,6680,2682,,7011,1896,2714,3803,,2633,2899.0,4277,5891,3432,0,,3410,5151,4089,653,5,8,0.0,0.0,31.0
2015-05-09,2896,3316,3489,1231,,3626,1038,1049,1595,,1753,1657.0,2914,3785,1290,0,,1673,3018,1615,242,5,9,0.0,0.0,65.0
2015-05-10,2060,2250,2543,965,,2345,788,801,1124,,1067,1171.0,2146,2746,959,0,,1141,2225,1107,149,5,10,0.0,0.0,39.0
2015-05-11,1490,1070,1424,721,,1872,472,468,1098,,224,529.0,1327,1500,687,0,,946,1512,1214,125,5,11,7.1,0.0,44.0
2015-05-12,3044,1987,2782,1329,,3935,1011,975,2215,,694,1137.0,2160,2735,1425,0,,1805,2474,2504,268,5,12,2.1,0.0,80.0
2015-05-13,5747,4293,5328,2416,,6541,1635,2313,3677,,1794,2734.0,3982,4991,3007,0,,3066,4043,4136,549,5,13,5.9,0.0,41.0
2015-05-14,6505,4732,5968,2650,,6708,1797,2429,3885,,2212,3010.0,4114,5671,3185,0,,3386,4439,4307,651,5,14,5.8,0.0,41.0
2015-05-15,5533,4066,5188,2127,,6100,1569,2109,3328,,2128,2452.0,3830,5035,2758,68,,2983,3869,3787,605,5,15,3.7,0.0,31.0
2015-05-16,2433,2640,2616,906,,3199,803,859,1448,,1085,1127.0,2433,3086,1116,87,,1445,2285,1349,146,5,16,0.3,0.0,31.0
2015-05-17,4634,5099,5404,1594,,4437,1436,2080,2409,,4500,3545.0,4834,5904,2633,113,,1949,3253,2002,305,5,17,0.0,0.0,31.0
2015-05-18,4155,4351,4682,1490,,3701,1366,1950,1860,,3761,3064.0,3510,5148,2306,103,,1828,2885,1708,232,5,18,0.0,0.0,46.0
2015-05-19,5203,3422,4645,2015,,5720,1525,1797,3166,,1257,1922.0,3352,4455,2309,164,,2593,3388,3567,561,5,19,0.0,0.0,69.0
2015-05-20,5698,3840,5240,2418,,5947,1636,2058,3404,,1398,2212.0,3646,4814,2772,145,,2951,3835,3858,426,5,20,6.8,0.0,54.0
2015-05-21,6031,4271,5598,2423,,6706,1713,2149,3565,,1875,2499.0,3891,5131,2860,152,,3082,3687,4175,662,5,21,4.1,0.0,43.0
2015-05-22,4478,3118,4121,1697,,5095,1251,1551,2825,,1110,1639.0,2973,3854,2144,101,,2494,2974,3321,549,5,22,9.4,0.0,54.0
2015-05-23,3285,3171,3484,1129,,3433,947,1107,1549,,1554,1869.0,3385,3841,1333,98,,1739,2555,1540,267,5,23,8.0,0.0,61.0
2015-05-24,3891,4183,4422,1300,,3971,1321,1487,2063,,2761,2665.0,4300,4884,1969,78,,1690,2887,1889,309,5,24,0.0,0.0,56.0
2015-05-25,2891,1878,2687,1214,,3096,850,1084,1908,,664,1157.0,1911,2693,1474,83,,1547,2038,2250,327,5,25,0.0,0.0,43.0
2015-05-26,6492,4555,6124,2555,,6955,1916,2544,3914,,2483,2970.0,4215,5553,3262,173,,3052,3823,4601,680,5,26,0.0,0.0,46.0
